Raw Serial Number,Commit Message,DEMPE Function Class
2,fix fix sroll change detection,3
3,fix improve detection of external scroll,3
4,docs fix jsdelivr references,3
5,chorepackage update dependencies,3
5,chorepackage update lockfile packagelockjson,3
6,refactor improve api,1
6,chore fix promise issue using cypress,3
6,refactor improve public api,1
6,breaking change api changed,0
6,feat improve public api,0
6,test add browserstack tests,3
6,test improve tests,3
6,test change to tdd,3
6,test improve tests,3
6,test remove cypress,3
6,test add basic scroll test,3
6,test basic browserstack test config,3
6,chore remove yarnlock,3
6,chore new api,3
6,feat add getelementplacement,0
6,fix proper handling of scroll to element percent,3
6,chore use scrollsize as avaliable scroll instead of scrollsize,3
6,fix scrolling in document element,3
6,perf replace scrollelement class with functions,1
6,refactor remove unnecessary getters,1
6,refactor change detection of external scroll,1
6,perf not removing all scroll animations,1
6,fix scrollsize getter,3
6,fix make tests use new api,3
6,refactor move element function logic to scrollelement,1
6,fix remove browserstack scripts returning cyclic structures,3
6,test improve centerelement test,3
6,refactor improve api,1
6,docswip update readme,3
6,refactor rename elementrelativeposition relativeelementposition,1
6,docs update readme,3
6,test update test for elementposition,3
6,test use min capabilities test,3
6,fix getdisttocenterelement not working,3
6,fix update properly animation position after user scroll,3
6,fix test capabilities,3
6,test reduce precision,3
6,refactor fix codeclimate issues,1
6,docs add browserstack logo,3
7,chorepackage update tsnode to version,3
7,chorepackage update lockfile yarnlock,3
8,chorepackage update typesnode to version,3
8,chorepackage update lockfile yarnlock,3
9,fixreadme fix element examples,3
10,docsreadme add codepen for examples in readme,3
11,fixreadme incorrect external onscroll example,3
12,breaking change api changed,0
12,chore change exported api,3
12,refactor change animationmanager,1
12,chore remove demo,3
12,docs update readme,3
12,docs update readme,3
12,feat add misc,0
12,refactor remove tests,1
12,featmisc add scrollto function,0
12,featmisc add iselementinrange,0
12,docsreadme fix typo,3
12,fix missing module in packagejson,3
12,test add cypress,3
12,test add screenshots for readme,3
12,test refactor tests,3
12,test add basic cypress tests,3
12,refactor change position to scrollposition,1
12,docs update readme,3
12,chore remove browserstack,3
13,chorepackage update lockfile packagelockjson,3
14,docsreadme add greenkeeper badge,3
15,chorepackage update dependencies,3
16,docs fix readme,3
17,docs add toc,3
18,fix change type in centerelement from _htmlelement_ to _element_,3
19,docsdemo remove readme,3
20,docs update readme,3
21,fix allow documentqueryselector to instantiate scrollmanager,3
22,docs add demo link to readme,3
23,fix remove reactmarkdown from dependencies,3
24,docsdemo fix cdn scrollutility version,3
25,docs add badge for npm downloads,3
26,test fix creating scrollmanager scope,3
27,chore fix exports and update readme,3
28,docsdemo improve demo,3
28,docsdemo add styledcomponents,3
28,docsdemo improve rulers,3
28,docsdemo add more ruler types,3
28,docsdemo improve site generation,3
28,docsdemo remove some positioned elements,3
28,docs improve positioning,3
28,docsdemo improve styles,3
28,docs improve styles,3
28,docs improve grid responsiveness,3
28,docs add basic set of buttons in topbar,3
28,docs fix importing raw files,3
28,docswip add more documentation,3
28,docswip add centerelement component,3
28,fix use new api,3
28,docswip refactor demo,3
28,docs improve demo,3
28,docs wip improve demo,3
28,docs improve demo,3
28,docsdemo add rightbar,3
28,docs move most styles to css,3
29,test update tests to new api,3
29,test use new api,3
30,refactor improve engine,1
30,refactor add partialrecursive for settings,1
30,refactor add default settings file,1
30,refactor remove value from options,1
30,refactor export default windowscrollmanager,1
30,fix incorrectly handling shouldbe when out of limits,3
30,fix minor problems,3
30,fix incorrectly handling shouldbe when out of limits,3
34,chorereleaseprepare for next development iteration,3
35,chorereleaseprepare release uportalappframeworkmaven,3
40,chorereleaseprepare for next development iteration,3
41,chorereleaseprepare release uportalappframeworkmaven,3
61,refactor remove unused field serviceworkermainweak_factory_,1
61,refactor remove unused field serviceworkermainweak_factory_,1
62,refactor remove unused method electronbrowsercontextgetweakptr,1
62,refactor use forward declaration of mediadeviceidsalt in electron_browser_contexth,1
62,refactor remove unused include from browser_contexth,1
62,refactor remove unused electronbrowsercontextgetweakptr,1
63,refactor use default to define trivial destructors,1
63,refactor use default to define trivial destructors,1
64,build use windows src cache,4
64,build use source cache on windows,4
65,refactor reduce coupling in electronapiprotocol,1
65,refactor decouple apiprotocol from electronbrowsercontext,1
65,refactor make electronapiprotocolerror private,1
65,refactor remove unused isolate arg in protocol constructor,1
65,refactor use default for trivial destructor,1
66,fix remove filepath from types,3
67,fix add missing cpp_heap to nodejs worker createparams,3
68,feat add ffmpegdll to delay load configuration,0
68,feat set ffmpegdll as a delayloaded dll,0
