Raw Serial Number,Commit Message,DEMPE Function Class
1,Create nodejs.yml (#51),Non-conventional
2,fix: fix sroll change detection,3
3,fix: improve detection of external scroll,3
3,'floor' raw scrollPosition when checking for scroll change (codepen returning floating values),Non-conventional
4,docs: fix jsdelivr references,3
5,Update dependencies to enable Greenkeeper 🌴 (#49),Non-conventional
5,* chore(package): update dependencies,3
5,* chore(package): update lockfile package-lock.json,3
6,refactor: improve api,1
6,* chore: fix promise issue using cypress,3
6,* refactor: improve public api,1
6,BREAKING CHANGE: api changed,0
6,* feat: improve public api,0
6,merge scroll functions into scrollTo,Non-conventional
6,* test: add browserstack tests,3
6,replace cypress with browserstack for better browser support,Non-conventional
6,Squashed commit of the following:,Non-conventional
6,commit 9f91793ff5a2a46d7b217c5cc0b4e195f99d803e,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Mon Apr 29 00:08:58 2019 -0400,Non-conventional
6,test: improve tests,3
6,commit 4dae7a75c43f10ec5397efd3467ec27315024871,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 22:59:28 2019 -0400,Non-conventional
6,test: change to TDD,3
6,change 'describe' for 'suit',Non-conventional
6,commit db8bfabc3b4baedb470de5d029f87d7ee6e457dd,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 20:44:33 2019 -0400,Non-conventional
6,test: improve tests,3
6,commit 5f6ca6ba1c086fa1311a3dc80e1842b7f8ed4ff5,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 18:40:11 2019 -0400,Non-conventional
6,test: remove cypress,3
6,commit f0af97d38814fcfbe67038b6ab8cd181680aae9f,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 18:36:34 2019 -0400,Non-conventional
6,test: add basic scroll test,3
6,commit 34fef3c9d6708bc77275eea1965f998d89997141,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 17:45:34 2019 -0400,Non-conventional
6,test: basic browserstack test config,3
6,* chore: remove yarn.lock,3
6,* chore: new api,3
6,* feat: add getElementPlacement,0
6,"* fix: proper handling of scroll to element ""percent""",3
6,* chore: use scrollSize as avaliable scroll instead of scrollSize,3
6,* fix: scrolling in document element,3
6,* perf: replace ScrollElement class with functions,1
6,* refactor: remove unnecessary getters,1
6,* refactor: change detection of external scroll,1
6,* perf: not removing all scroll animations,1
6,* fix: scrollSize getter,3
6,* fix: make tests use new api,3
6,"* refactor: move ""element"" function logic to 'ScrollElement'",1
6,* fix: remove browserstack scripts returning cyclic structures,3
6,* test: improve centerElement test,3
6,* refactor: improve api,1
6,* docs(wip): update readme,3
6,* refactor: rename elementRelativePosition => relativeElementPosition,1
6,* docs: update readme,3
6,* test: update test for elementPosition,3
6,* test: use min capabilities test,3
6,* fix: getDistToCenterElement not working,3
6,* fix: update properly animation position after user scroll,3
6,* fix: test capabilities,3
6,* test: reduce precision,3
6,* refactor: fix codeclimate issues,1
6,* docs: add browserstack logo,3
7,Update ts-node to the latest version 🚀 (#46),Non-conventional
7,* chore(package): update ts-node to version 8.0.3,3
7,* chore(package): update lockfile yarn.lock,3
8,Update @types/node to the latest version 🚀 (#45),Non-conventional
8,* chore(package): update @types/node to version 10.12.22,3
8,* chore(package): update lockfile yarn.lock,3
9,fix(readme): fix 'element' examples,3
10,docs(readme): add codepen for examples in README,3
11,fix(readme): incorrect external onScroll example,3
12,v3 greater refactor (#43),Non-conventional
12,BREAKING CHANGE: api changed,0
12,* chore: change exported api,3
12,* refactor: change animationManager,1
12,* chore: remove demo,3
12,* docs: update readme,3
12,* docs: update readme,3
12,* feat: add `misc`,0
12,* refactor: remove tests,1
12,* feat(misc): add `scrollTo` function,0
12,similar to `scrollBy`,Non-conventional
12,* feat(misc): add `isElementInRange`,0
12,returns `true` if element is visible from its container #14,Non-conventional
12,* docs(readme): fix typo,3
12,"""design"" -> ""designed""",Non-conventional
12,* fix: missing module in package.json,3
12,ts-node,Non-conventional
12,* test: add cypress,3
12,Squashed commit of the following:,Non-conventional
12,test: add screenshots for readme,3
12,test: refactor tests,3
12,test: add basic cypress tests,3
12,* refactor: change position to scrollPosition,1
12,* docs: update README,3
12,* chore: remove browserstack,3
13,chore(package): update lockfile package-lock.json,3
14,docs(readme): add Greenkeeper badge,3
15,chore(package): update dependencies,3
16,docs: fix README,3
17,docs: add toc,3
18,fix: change type in `centerElement` from _HTMLElement_ to _Element_,3
19,docs(demo): remove readme,3
20,docs: update readme,3
21,fix: allow `document.querySelector` to instantiate ScrollManager,3
21,change `HTMLElement` to `Element`,Non-conventional
21,`HTMLElement` extends `Element`,Non-conventional
22,docs: add demo link to readme,3
23,fix: remove react-markdown from dependencies,3
24,docs(demo): fix cdn scroll-utility version,3
