Raw Serial Number,Commit Message,DEMPE Function Class
1,Create nodejs.yml (#51),Non-conventional
3,'floor' raw scrollPosition when checking for scroll change (codepen returning floating values),Non-conventional
5,Update dependencies to enable Greenkeeper 🌴 (#49),Non-conventional
6,merge scroll functions into scrollTo,Non-conventional
6,replace cypress with browserstack for better browser support,Non-conventional
6,Squashed commit of the following:,Non-conventional
6,commit 9f91793ff5a2a46d7b217c5cc0b4e195f99d803e,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Mon Apr 29 00:08:58 2019 -0400,Non-conventional
6,commit 4dae7a75c43f10ec5397efd3467ec27315024871,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 22:59:28 2019 -0400,Non-conventional
6,change 'describe' for 'suit',Non-conventional
6,commit db8bfabc3b4baedb470de5d029f87d7ee6e457dd,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 20:44:33 2019 -0400,Non-conventional
6,commit 5f6ca6ba1c086fa1311a3dc80e1842b7f8ed4ff5,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 18:40:11 2019 -0400,Non-conventional
6,commit f0af97d38814fcfbe67038b6ab8cd181680aae9f,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 18:36:34 2019 -0400,Non-conventional
6,commit 34fef3c9d6708bc77275eea1965f998d89997141,Non-conventional
6,Author: David Perez Alvarez <david@leddgroup.com>,Non-conventional
6,Date:   Sun Apr 28 17:45:34 2019 -0400,Non-conventional
7,Update ts-node to the latest version 🚀 (#46),Non-conventional
8,Update @types/node to the latest version 🚀 (#45),Non-conventional
12,v3 greater refactor (#43),Non-conventional
12,similar to `scrollBy`,Non-conventional
12,returns `true` if element is visible from its container #14,Non-conventional
12,"""design"" -> ""designed""",Non-conventional
12,ts-node,Non-conventional
12,Squashed commit of the following:,Non-conventional
21,change `HTMLElement` to `Element`,Non-conventional
21,`HTMLElement` extends `Element`,Non-conventional
24,"Using scroll-utility@1, now use @2",Non-conventional
28,use new api,Non-conventional
28,add prism,Non-conventional
28,improve styles,Non-conventional
30,types thanks to Daniel Perez Alvarez <daniel@protonmail.com>,Non-conventional
30,`windowScrollManager` its usually prefer ed to scroll,Non-conventional
31,readme: note that no longer maintained,Non-conventional
31,"Acknowledge that with UW-Madison's stepping away, this is now largely unmaintained.",Non-conventional
32,Merge pull request #1051 from nogalpaulina/activate-myuw-feedback-component,Non-conventional
32,Activate Feedback Web Component in header,Non-conventional
33,Activate Feedback Web Component in header,Non-conventional
36,Merge pull request #1050 from nogalpaulina/tooltip-style-adj,Non-conventional
36,Adjust height and line-height of the tooltip for better readability,Non-conventional
37,Adjust height and line-height of the tooltip for better readibility,Non-conventional
38,Merge pull request #1049 from nogalpaulina/tooltips-adjustments,Non-conventional
38,Adjust z-index and position of tooltips attached to header buttons,Non-conventional
