"Serial Number","Commit Message","Label"
"1","Create nodejs.yml (#51)",""
"2","fix: fix sroll change detection",""
"3","fix: improve detection of external scroll

'floor' raw scrollPosition when checking for scroll change (codepen returning floating values)",""
"4","docs: fix jsdelivr references",""
"5","Update dependencies to enable Greenkeeper 🌴 (#49)

* chore(package): update dependencies

* chore(package): update lockfile package-lock.json",""
"6","refactor: improve api

* chore: fix promise issue using cypress

* refactor: improve public api

BREAKING CHANGE: api changed

* feat: improve public api

merge scroll functions into scrollTo

* test: add browserstack tests

replace cypress with browserstack for better browser support

Squashed commit of the following:

commit 9f91793ff5a2a46d7b217c5cc0b4e195f99d803e
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Mon Apr 29 00:08:58 2019 -0400

    test: improve tests

commit 4dae7a75c43f10ec5397efd3467ec27315024871
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Sun Apr 28 22:59:28 2019 -0400

    test: change to TDD

    change 'describe' for 'suit'

commit db8bfabc3b4baedb470de5d029f87d7ee6e457dd
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Sun Apr 28 20:44:33 2019 -0400

    test: improve tests

commit 5f6ca6ba1c086fa1311a3dc80e1842b7f8ed4ff5
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Sun Apr 28 18:40:11 2019 -0400

    test: remove cypress

commit f0af97d38814fcfbe67038b6ab8cd181680aae9f
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Sun Apr 28 18:36:34 2019 -0400

    test: add basic scroll test

commit 34fef3c9d6708bc77275eea1965f998d89997141
Author: David Perez Alvarez <david@leddgroup.com>
Date:   Sun Apr 28 17:45:34 2019 -0400

    test: basic browserstack test config

* chore: remove yarn.lock

* chore: new api

* feat: add getElementPlacement

* fix: proper handling of scroll to element ""percent""

* chore: use scrollSize as avaliable scroll instead of scrollSize

* fix: scrolling in document element

* perf: replace ScrollElement class with functions

* refactor: remove unnecessary getters

* refactor: change detection of external scroll

* perf: not removing all scroll animations

* fix: scrollSize getter

* fix: make tests use new api

* refactor: move ""element"" function logic to 'ScrollElement'

* fix: remove browserstack scripts returning cyclic structures

* test: improve centerElement test

* refactor: improve api

* docs(wip): update readme

* refactor: rename elementRelativePosition => relativeElementPosition

* docs: update readme

* test: update test for elementPosition

* test: use min capabilities test

* fix: getDistToCenterElement not working

* fix: update properly animation position after user scroll

* fix: test capabilities

* test: reduce precision

* refactor: fix codeclimate issues

* docs: add browserstack logo",""
"7","Update ts-node to the latest version 🚀 (#46)

* chore(package): update ts-node to version 8.0.3

* chore(package): update lockfile yarn.lock",""
"8","Update @types/node to the latest version 🚀 (#45)

* chore(package): update @types/node to version 10.12.22

* chore(package): update lockfile yarn.lock",""
"9","fix(readme): fix 'element' examples",""
"10","docs(readme): add codepen for examples in README",""
"11","fix(readme): incorrect external onScroll example",""
"12","v3 greater refactor (#43)

BREAKING CHANGE: api changed
* chore: change exported api

* refactor: change animationManager

* chore: remove demo

* docs: update readme

* docs: update readme

* feat: add `misc`

* refactor: remove tests

* feat(misc): add `scrollTo` function
similar to `scrollBy`

* feat(misc): add `isElementInRange`
returns `true` if element is visible from its container #14

* docs(readme): fix typo

""design"" -> ""designed""

* fix: missing module in package.json
ts-node

* test: add cypress
Squashed commit of the following:
    test: add screenshots for readme
    test: refactor tests
    test: add basic cypress tests

* refactor: change position to scrollPosition

* docs: update README

* chore: remove browserstack",""
"13","chore(package): update lockfile package-lock.json",""
"14","docs(readme): add Greenkeeper badge",""
"15","chore(package): update dependencies",""
"16","docs: fix README",""
"17","docs: add toc",""
"18","fix: change type in `centerElement` from _HTMLElement_ to _Element_",""
"19","docs(demo): remove readme",""
"20","docs: update readme",""
"21","fix: allow `document.querySelector` to instantiate ScrollManager

change `HTMLElement` to `Element`
`HTMLElement` extends `Element`",""
"22","docs: add demo link to readme",""
"23","fix: remove react-markdown from dependencies",""
"24","docs(demo): fix cdn scroll-utility version

Using scroll-utility@1, now use @2",""
"25","docs: add badge for npm downloads",""
